Car Name,Link,Year,KM,Type,CC,Type 2,GRADE
Dodge Charger 287 kW,https://carvago.com//car/52455650/dodge-charger-287-kw,2016,47000,Petrol,5850,Automatic,4
Kia XCeed 103 kW,https://carvago.com//car/50175449/kia-xceed-103-kw,2020,19500,Petrol,2100,Manual,0
Opel Insignia 221 kW,https://carvago.com//car/52016743/opel-insignia-221-kw,2009,135000,Petrol,4500,Manual,4
Dodge RAM 295 kW,https://carvago.com//car/48031646/dodge-ram-295-kw,2020,34200,Petrol,6015,Automatic,4
Ford Focus Wagon 2.0 16V 107 kW,https://carvago.com//car/52566097/ford-focus-wagon-2-0-16v-107-kw,2009,150000,Petrol,2175,Manual,0
Mercedes-Benz C 200 CDi DPF 100 kW,https://carvago.com//car/22449489/mercedes-benz-c-200-cdi-dpf-100-kw,2010,50,Diesel,2040,Manual,0
Land Rover Range Rover Sport 140 kW,https://carvago.com//car/50039517/land-rover-range-rover-sport-140-kw,2009,142000,Diesel,2850,Automatic,4
Volvo XC40 D3 110 kW,https://carvago.com//car/49766512/volvo-xc40-d3-110-kw,2018,104000,Diesel,2250,Automatic,0
Dodge RAM Quad Cab 295 kW,https://carvago.com//car/51980663/dodge-ram-quad-cab-295-kw,2018,85000,Petrol,6015,Manual,0
Audi A5 180 kW,https://carvago.com//car/49933640/audi-a5-180-kw,2016,4534,Diesel,3675,Automatic,4
Peugeot 308 SW 150 THP 110 kW,https://carvago.com//car/51603850/peugeot-308-sw-150-thp-110-kw,2010,86210,Petrol,2250,Manual,0
Seat Leon Style 92 kW,https://carvago.com//car/52112470/seat-leon-style-92-kw,2009,158500,Petrol,1875,Manual,0
Maserati Ghibli 302 kW,https://carvago.com//car/52407887/maserati-ghibli-302-kw,2015,93500,Petrol,6165,Automatic,4
Alfa Romeo Giulietta 1.8 TBi 16V Quadrifoglio Verde 173 kW,https://carvago.com//car/52193431/alfa-romeo-giulietta-1-8-tbi-16v-quadrifoglio-verde-173-kw,2013,140426,Petrol,3525,Manual,0
Volkswagen T-Roc TSI 110 kW,https://carvago.com//car/50091982/volkswagen-t-roc-tsi-110-kw,2022,7866,Petrol,2250,Manual,0
Opel Antara 2.2 CDTi ecoFLEX Selection 120 kW,https://carvago.com//car/52201727/opel-antara-2-2-cdti-ecoflex-selection-120-kw,2015,123500,Diesel,2445,Manual,0
Peugeot 5008 120 kW,https://carvago.com//car/50558869/peugeot-5008-120-kw,2011,167414,Diesel,2445,Automatic,0
BMW 120 140 kW,https://carvago.com//car/50998226/bmw-120-140-kw,2021,18000,Diesel,2850,Automatic,0
Chevrolet Captiva 2.2 4WD LTZ 135 kW,https://carvago.com//car/51261105/chevrolet-captiva-2-2-4wd-ltz-135-kw,2012,120174,Diesel,2760,Manual,4
Mercedes-Benz C 300 195 kW,https://carvago.com//car/48334922/mercedes-benz-c-300-195-kw,2022,16500,Diesel,3975,Automatic,0
